Estatus,Nro.Fiscal,IdCliente,Val.aplicado,FechaFac.,FechaPago
Pagado,FCO3459579,95791,35750,28/01/2022,28/01/2022
Pagado,FCO3459580,96221,86461,07/01/2022,07/01/2022
Pagado,FCO3459582,97296,222054,23/02/2022,23/02/2022
Pagado,FCO3459583,100172,601316,07/02/2022,07/02/2022
Pagado,FCO3459584,100258,44738,24/01/2022,24/01/2022
Pagado,FCO3459585,100267,133520,31/01/2022,31/01/2022
Pagado,FCO3459586,100791,959350,19/01/2022,19/01/2022
Pagado,FCO3459587,100905,425805,15/01/2022,15/01/2022
Pagado,FCO3459589,101288,64832,13/01/2022,13/01/2022
Pagado,FCO3459590,101379,44738,12/01/2022,12/01/2022
Pagado,FCO3459591,101985,43210,22/01/2022,22/01/2022
Pagado,FCO3459593,102371,297902,23/02/2022,23/02/2022
Pagado,FCO3459594,102829,71196,12/01/2022,12/01/2022
Pagado,FCO3459595,102991,334001,28/04/2022,28/04/2022
Pagado,FCO3459597,103352,59443,13/01/2022,13/01/2022
Pagado,FCO3459598,106192,116965,15/02/2022,15/02/2022
Pagado,FCO3459600,106498,68650,11/01/2022,11/01/2022
Pagado,FCO3459601,106796,59500,24/01/2022,24/01/2022
Pagado,FCO3459602,107081,91101,18/02/2022,18/02/2022
Pagado,FCO3459604,108251,61584,22/01/2022,22/01/2022
Pagado,FCO3459605,108285,254946,11/03/2022,11/03/2022
Pagado,FCO3459606,108345,69047,12/01/2022,12/01/2022
Pagado,FCO3459607,108599,37386,14/01/2022,14/01/2022
Pagado,FCO3459610,110011,268150,20/01/2022,20/01/2022
Pagado,FCO3459611,110693,76840,22/03/2022,22/03/2022
Pagado,FCO3459612,110811,61662,02/02/2022,02/02/2022
Pagado,FCO3459615,112620,285431,14/01/2022,14/01/2022
Pagado,FCO3459616,113039,53550,11/01/2022,11/01/2022
Pagado,FCO3459617,113057,138096,15/01/2022,15/01/2022
Pagado,FCO3459618,113337,35700,29/12/2021,29/12/2021
Pagado,FCO3459620,113815,43210,21/01/2022,21/01/2022
Pagado,FCO3459624,114406,119273,28/02/2022,28/02/2022
Pagado,FCO3459625,114823,73983,11/01/2022,11/01/2022
Pagado,FCO3459626,115121,68425,05/01/2022,05/01/2022
Pagado,FCO3459627,115177,71245,28/01/2022,28/01/2022
Pagado,FCO3459628,115521,197184,31/01/2022,31/01/2022
Pagado,FCO3459629,115743,92424,18/01/2022,18/01/2022
Pagado,FCO3459630,115907,37935,12/01/2022,12/01/2022
Pagado,FCO3459632,116448,100584,29/12/2021,29/12/2021
Pagado,FCO3459633,116876,99410,25/01/2022,25/01/2022
Pagado,FCO3459635,117717,66650,12/01/2022,12/01/2022
